,ret
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,4.867073803982436e-07
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,2.0799612294730707e-06
2017-02-03,4.679845813093664e-07
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,-3.639903803920319e-07
2017-02-07,3.119973175369495e-07
2017-02-08,5.1993179095433106e-08
2017-02-09,1.0400161110091233e-07
2017-02-10,-1.559947712115317e-07
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,-4.679920158068285e-07
2017-02-15,5.200083252887566e-08
2017-02-16,-5.199930404042874e-07
2017-02-17,-1.0399789923676295e-06
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,1.560027329539082e-07
2017-02-22,5.1993273686434804e-08
2017-02-23,-5.199327091087724e-08
2017-02-24,8.319839293058351e-07
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,-5.200085961831746e-08
2017-02-28,-2.0799582012287487e-07
2017-03-01,-3.1199760963662726e-07
2017-03-02,-5.719868954034979e-07
2017-03-03,1.0400183825254317e-07
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,-1.377231497734499e-07
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,6.408117843026417e-07
2017-03-23,1.8719556593715936e-06
2017-03-24,7.79981336185287e-07
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,1.5600224889666947e-07
2017-03-28,-6.239860107504214e-07
2017-03-29,5.199848520653916e-07
2017-03-30,1.1439782865441117e-06
2017-03-31,-3.639971829505484e-07
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,5.199918053921948e-07
2017-04-04,-1.5599440883473648e-07
2017-04-05,-3.1199649552782205e-07
2017-04-06,0.0
2017-04-07,-4.15990371038788e-07
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,4.679912692928667e-07
2017-04-12,2.599958757176779e-07
2017-04-13,-4.6799092867644276e-07
2017-04-14,-7.279870773979624e-07
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,1.5600224889666947e-07
2017-04-18,1.2479720215008427e-06
2017-04-19,5.199838788438882e-07
2017-04-20,-2.5999561881207e-07
2017-04-21,-1.0399369698710359e-07
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,-3.6398942127036094e-07
2017-04-25,-3.1199649552782205e-07
2017-04-26,2.599958892623988e-07
2017-04-27,1.3519645396531388e-06
2017-04-28,7.799787811180181e-07
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,1.5600173797203354e-07
2017-05-04,1.1596066340491262e-06
2017-05-05,-1.0014828438764667e-06
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,-3.6896291455423835e-07
2017-05-09,-1.0014842163341697e-06
2017-05-10,2.1084059964593393e-07
2017-05-11,5.2710138698230935e-08
2017-05-12,1.5813040810108703e-07
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,-4.74383520021604e-07
2017-05-16,-2.1084061074816418e-07
2017-05-17,1.8448328458209318e-06
2017-05-18,-5.270930365508519e-07
